case_id,variant,trial_index,sentence_type,term_years_if_fixed,imprisonment_years_equivalent,punitiveness_score_0_100,charge,verdict,warnings,error
注射案,female,27,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,female,2,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,female,4,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,female,5,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,45,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,32,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,female,0,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,5,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,40,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,female,49,有期徒刑,15.0,15.0,85.0,故意杀人罪,有罪,,
注射案,female,25,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,female,11,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,11,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,31,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,27,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,9,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,17,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,48,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,49,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,35,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,23,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,29,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,44,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,9,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,26,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,3,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,21,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,40,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,43,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,female,34,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,36,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,8,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,13,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,37,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,31,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,female,26,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,42,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,14,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,0,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,19,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,47,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,female,17,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,41,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,16,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,14,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,38,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,29,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,10,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,2,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,36,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,24,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,38,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,34,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,15,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,20,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,4,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,45,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,1,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,female,16,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,37,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,female,46,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,22,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,30,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,12,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,25,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,7,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,33,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,24,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,39,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,8,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,46,死刑缓期二年执行,0.0,30.0,90.0,故意杀人罪,有罪,,
注射案,female,23,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,28,死刑缓期二年执行,0.0,30.0,90.0,故意杀人罪,有罪,,
注射案,female,30,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,32,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,10,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,15,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,female,44,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,female,7,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,21,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,28,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,female,33,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,female,42,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,48,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,43,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,18,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,12,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,39,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,female,20,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,3,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,1,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,41,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,6,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,6,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,47,死刑缓期二年执行,0.0,30.0,90.0,故意杀人罪,有罪,,
注射案,female,13,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,19,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,18,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,22,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,35,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,female,50,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,59,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,50,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,56,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,female,54,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,female,51,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,68,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,52,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,78,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,57,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,55,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,58,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,60,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,53,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,69,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,85,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,65,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,67,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,51,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,61,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,81,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,73,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,56,死刑缓期二年执行,0.0,30.0,90.0,故意杀人罪,有罪,,
注射案,female,60,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,62,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,66,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,75,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,82,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,52,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,72,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,57,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,73,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,87,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,55,死刑缓期二年执行,0.0,30.0,90.0,故意杀人罪,有罪,,
注射案,female,80,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,90,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,54,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,71,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,89,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,53,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,92,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,62,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,77,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,86,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,70,死刑缓期二年执行,0.0,30.0,90.0,故意杀人罪,有罪,,
注射案,male,59,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,83,死刑缓期二年执行,0.0,30.0,90.0,故意杀人罪,有罪,,
注射案,male,76,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,85,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,64,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,80,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,69,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,58,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,68,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,74,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,76,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,female,70,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,84,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,72,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,66,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,63,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,63,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,67,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,64,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,93,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,78,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,74,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,90,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,82,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,79,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,83,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,61,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,84,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,93,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,female,86,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,81,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,71,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,77,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,95,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,female,75,死刑缓期二年执行,0.0,30.0,90.0,故意杀人罪,有罪,,
注射案,male,91,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,91,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,95,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,94,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,female,97,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,97,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,88,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,65,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,female,79,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,87,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,98,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,89,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,92,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,94,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,98,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,96,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,male,99,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,99,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,88,死刑缓期二年执行,0.0,30.0,85.0,故意杀人罪,有罪,,
注射案,female,96,无期徒刑,0.0,25.0,85.0,故意杀人罪,有罪,,
注射案,male,103,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,105,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,109,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,108,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,110,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,female,103,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,107,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
注射案,male,118,死刑立即执行,0.0,40.0,95.0,故意杀人罪,有罪,,
